"Rep","Gamma_ESS","Psi_ESS","Phi_ESS","InitialBeta_ESS","RunTime"
471,5.58819221856184,4.3799344415755,5.58819221856184,3.62477333095903,6.62110366875
472,3.19177188468414,4.46848063855779,4.57487303471393,3.51094907315255,9.3991679493
473,6.39355901919896,8.52474535893194,9.47193928770216,6.86715598358407,4.22300004096667
474,2.55309346120809,3.19136682651012,3.55609446382556,4.92382310375847,10.9670877409833
475,6.07752102379307,5.88147195850942,11.7629439170188,8.43010980719684,5.10076392638333
476,8.77586332090757,4.14858993351994,3.98902878223072,5.26551799254454,6.26718967568333
477,3.38230924757506,3.24137969559277,4.65067521541571,3.66416835153965,7.0957438375
478,6.73347088992152,5.91729260023407,6.73347088992152,5.50920345539034,4.90088997776667
479,2.80169620797853,3.12496884736067,2.90945375443924,3.23272639382138,9.2800925118
480,3.01359453064575,3.31495398371033,4.018126040861,3.2145008326888,9.95488931736667
481,4.57166359945252,4.57166359945252,5.63838510599145,4.72405238610094,6.5621626236
482,2.07903678354656,2.34729959432676,2.34729959432676,1.87783967546141,14.9107510965333
483,4.63396057594383,2.83711871996561,3.40454246395873,3.12083059196217,10.5741080868
484,5.1218204330753,4.90841124836383,6.18886635663265,5.1218204330753,4.68583393611667
485,4.38504337222719,3.34648046827865,4.26964749401069,3.92345985936117,8.66582078541667
486,5.29565521502406,5.29565521502406,12.3565288350561,4.90338445835561,5.09851923958333
487,2.1401136383156,2.05780157530346,2.38704982735202,2.38704982735202,12.14888757985
488,4.42605436727087,4.42605436727087,5.16373009514935,4.79489223121011,5.42243678195
489,5.64484891432285,5.41905495774993,5.41905495774993,5.64484891432285,4.42881649791667
490,2.60387578390917,3.10785174208514,3.35983972117313,3.10785174208514,11.9053298131833
491,5.67636163105987,6.30706847895541,9.88107395036348,7.35824655878131,4.75656798401667
492,5.11454263116746,4.94405787679521,5.6259968942842,5.45551213991195,5.86562712708333
493,1.42557188407332,1.46877103207555,1.33917358806888,1.12317784805777,23.1486046888833
494,4.83298714077315,5.79958456892778,9.18267556746899,4.83298714077315,6.20734115903333
495,5.06244170570969,4.10468246408893,6.29384644493637,4.2415052128919,7.30872613471667
496,3.38334266462305,3.00741570188716,2.72547047983524,4.22917833077881,10.6403647423667
497,7.54275187848399,8.35090386546442,11.5835118133861,12.6610477960267,3.71217301736667
498,5.27039064005955,5.40908513058743,5.54777962111532,4.43822369689225,7.21009173611667
499,6.47535046135188,9.71302569202781,9.71302569202781,6.66580194550929,5.25068105625
500,2.74943039120317,2.74943039120317,3.06667235941892,2.43218842298742,9.45650418471667
501,4.13017882065623,3.83516604775222,4.13017882065623,3.83516604775222,6.77936748403333
502,5.90519050590329,5.45094508237227,4.69386937648723,4.69386937648723,6.60435932778333
503,3.67790542924774,3.80925919457802,3.67790542924774,3.94061295990829,7.61302881181667
504,5.84449255811498,5.09519864040793,4.79548107332511,4.6456222897837,6.67294886805
505,7.32889556269992,4.03837102434486,5.23492540192852,3.8888017271469,6.68586413611667
506,2.24034398036582,2.15073022115118,2.32995773958045,2.68841277643898,11.15900067985
507,3.3393455148767,1.85519195270928,2.89409944622647,1.92939963081765,13.4756945034667
508,1.44612351172258,1.2533070434929,1.2533070434929,1.34971527760774,20.7451159993
509,2.78981221866076,2.51083099679468,2.60382473741671,2.60382473741671,10.7534119319333
510,1.55588293128824,1.61350822503965,1.55588293128824,1.55588293128824,17.3534907138833
511,2.70009135542274,3.18225052603394,2.6036595213005,2.70009135542274,10.3700194972167
512,4.06871291324763,4.06871291324763,3.27481771066273,2.97710700969339,10.0768967666667
513,4.74324986575298,4.44679674914342,4.44679674914342,4.15034363253386,6.74642932708333
514,9.6182138317834,6.55787306712505,5.82922050411115,5.5377594789056,6.86198094098333
515,7.70303535636827,5.18204196701138,5.18204196701138,5.04198677871378,7.14004252291667
516,3.56679327381587,3.21011394643428,3.92347260119746,3.68568638294307,8.41091638818333
517,2.64660332684101,2.64660332684101,2.54858098140245,3.13671505403379,10.20175548265
518,3.51019948993901,2.89075252112625,3.7166818128766,3.40695832847022,9.68605918195
