"","Rep","True_Beta","Mean_Beta","Lower95_Beta","Upper95_Beta"
"9733",150,0.270539576554612,0.255391718176326,0.174003263329737,0.364453418259977
"44624",650,0.330882500256926,0.357884218289645,0.26136627977565,0.458320281046861
"5390",91,0.0958419375185206,0.113844469206402,0.0493928918600453,0.204100045220411
"38029",561,0.081304569294761,0.10622870076904,0.0111764010237473,0.184213795815641
"46725",678,0.36374438517584,0.398070221930057,0.292553656751492,0.54043296332729
"14958",223,0.21715409030206,0.274030689488656,0.188170528636953,0.370812982003109
"35090",516,0.235472918646186,0.213035201374563,0.113324131300336,0.32124487131775
"330",7,0.0482566053043648,0.145601625558169,0.029947020129587,0.275630954252285
"7434",117,0.0535810061996453,0.0945605513495731,0.0143697315203449,0.175848019410617
"17011",251,0.341193450400631,0.318581074004835,0.205017970320748,0.41165799581418
"36186",536,0.106624491817931,0.118806093531213,0.0431982590508665,0.193894649243821
"4511",82,0.270507889404444,0.326981094249769,0.241631827173687,0.430866090753413
"24994",370,0.0583402075171791,0.174888812863059,0.0962876426216279,0.265545975679473
"29879",436,0.25755917962302,0.286210517990004,0.193789505932583,0.404076755367718
"36893",549,0.317508791509053,0.33026278846088,0.222953797973185,0.464991663970255
"1032",26,0.424721046485241,0.550848454778001,0.413177200048836,0.712873668854465
"4793",85,0.332979004004952,0.290425724839947,0.188567875894704,0.396509368097906
"1784",39,0.023715452079185,0.0664719362913471,0.000118835956293551,0.148836045892903
"20273",304,0.195733608436051,0.327248173315398,0.23294180034947,0.41880211396612
"23812",354,0.283628847628803,0.227172410058144,0.119428353632513,0.367434278134894
"37354",553,0.207303210461854,0.215618759129403,0.126820823882488,0.32309648729839
"27836",405,0.103446760038348,0.21689294465148,0.128971073631749,0.319167899648567
"28046",407,0.201931121578728,0.191114361387284,0.0959592589174449,0.364398336030105
"6390",103,0.116230771247685,0.12185830052006,0.0220731559490872,0.21519744813996
"41509",610,0.10813174296072,0.0739445045990987,0.000105069602118106,0.192497806977978
"43830",640,0.115454964563812,0.0770576055435127,0.00011372867758204,0.167072100038944
"18201",271,0.348878925897147,0.308428556368185,0.154299323794242,0.465019226392685
"32453",471,0.34612749427341,0.390535409342523,0.212451620980514,0.852037112298975
"15630",232,0.259430399654591,0.283601850128847,0.212985175259762,0.379881144246927
"12272",182,0.0811706496483616,0.152404884919353,0.065246297410824,0.243825815075444
"2778",56,0.36883719490177,0.327534761712939,0.213587177466157,0.449630674471299
"39113",575,0.312013626849846,0.285656758616001,0.209841757680854,0.376511863068575
"10372",156,0.0229100901845034,0.0646044804631207,0.000109688560472637,0.123348420103928
"14179",211,0.355735152747257,0.373148210752224,0.263137677302471,0.512095973154919
"42622",626,0.254809416041533,0.286921011759091,0.211154396214072,0.385312597681553
"22922",342,0.289077903625793,0.368177972951866,0.235632988049003,0.496570298994761
"699",15,0.10905560747059,0.0854737316307885,0.000208038497504157,0.203810078989505
"19162",287,0.094850460868332,0.0632690369179979,2.47242703997272e-06,0.140539899033246
"21546",322,0.241868108072842,0.192807283556897,0.11008714744305,0.281488600952221
"35711",528,0.115008761756757,0.090444334820363,0.00170921565051323,0.194116033520675
"44127",644,0.146111166713058,0.103579839830211,0.00287691567277045,0.191904417264458
