"Rep","TruePeak","Cases","TreeSize","TrueGamma","TruePhi","TruePsi","GammaMean","PhiMean","PsiMean","RunTime"
466,5494,5305,133,0.027733794,0.033823661,0.000847385,0.198070693306632,0.0291673716256037,0.000777501753787592,11.60169001875
467,679,987,64,0.217215111,0.043729689,0.002826249,0.23002181497292,0.0460411010930379,0.00253898033259842,6.11743992708333
468,1724,2824,105,0.086552555,0.044862932,0.00167243,0.207901987649985,0.0340454164929043,0.00131370403225354,9.16101798541667
469,343,579,13,0.216140093,0.038918423,0.00085774,0.232205582376257,0.0498980271509256,0.00152945843909914,4.86052364445
470,3643,3031,119,0.071138978,0.032389763,0.001275575,0.13621491574544,0.0342745933200287,0.0013374548646521,8.79359092083333
471,3312,3228,50,0.071228284,0.036691392,0.000570321,0.165724914303275,0.0487878942973544,0.00072759637088392,6.62110366875
472,1413,1884,134,0.128524529,0.041485651,0.002954529,0.174492965569736,0.0413633459145848,0.00276716199402628,9.3991679493
475,798,862,31,0.214746473,0.034195246,0.001222337,0.177434855743283,0.048054662003713,0.00161834759425924,5.10076392638333
476,2710,1207,40,0.106994914,0.016088532,0.000526371,0.135726212226929,0.0241982886337665,0.000901246145549905,6.26718967568333
478,173,324,19,0.265178463,0.048766279,0.002885779,0.211323594957228,0.0431686104539513,0.00188344002685092,4.90088997776667
479,1659,2075,136,0.117242386,0.041464552,0.002720055,0.178991321926768,0.0404296233170298,0.00246883256495963,9.2800925118
480,1101,1832,148,0.154614063,0.054200832,0.004374403,0.232014153561886,0.0461695918932431,0.00310829326006089,9.95488931736667
481,1249,1651,59,0.16546878,0.048315827,0.001711327,0.185244112733447,0.0419189061083391,0.00150471591468726,6.5621626236
483,2579,3097,156,0.071420298,0.037623317,0.001893111,0.184417521530001,0.0308252227369515,0.00154149802125134,10.5741080868
485,3018,3482,110,0.077105396,0.046858544,0.001482589,0.161717187776526,0.0461668264004994,0.00156164990145948,8.66582078541667
490,2015,2029,213,0.118538938,0.037784611,0.003972241,0.191182735724832,0.0325145429181421,0.00315658823155897,11.9053298131833
491,827,941,13,0.204277579,0.035373661,0.000487001,0.193818211505732,0.0500294709100915,0.000975713388259861,4.75656798401667
492,1688,1855,41,0.126571801,0.036626072,0.00080029,0.177791493826344,0.045862478061804,0.00126378238842069,5.86562712708333
494,694,888,52,0.18660152,0.034203709,0.002005484,0.209140893743547,0.0331476824626307,0.00192218560747135,6.20734115903333
495,1399,1746,83,0.15845446,0.04423822,0.002093753,0.217050481074775,0.0483475046926295,0.00232816548673566,7.30872613471667
496,2904,1401,38,0.329705448,0.035581594,0.000804768,0.194905402237951,0.0247623389103713,0.000778740524344749,10.6403647423667
498,1436,1433,79,0.162172604,0.035301649,0.001944076,0.163467735324048,0.0463031184514582,0.00246090985784888,7.21009173611667
499,435,830,24,0.202114177,0.045359681,0.001306641,0.216418490886678,0.0485621556842979,0.00146350410739508,5.25068105625
501,993,401,20,0.200281416018826,0.012922881590313,0.000632798537766864,0.16785374837339,0.0188180450164527,0.00096178556050811,6.77936748403333
502,2324,425,25,0.12857871364635,0.00623235586213368,0.000370186384339962,0.139543514206204,0.0152902696169675,0.000979408845181236,6.60435932778333
504,304,498,27,0.220226885366016,0.0348638968760063,0.00189366210382043,0.239961476410416,0.0281680832487544,0.00124832475522749,6.67294886805
505,766,793,20,0.216336579336946,0.0363472548693955,0.000910282857518663,0.250695783938134,0.0344113847463293,0.000923592758002756,6.68586413611667
510,2434,2730,157,0.0985916552687468,0.044321073493979,0.00253931121065283,0.215890003110538,0.0281011647721712,0.00151384906067555,17.3534907138833
511,2459,3052,33,0.0874493479690562,0.044321073493979,0.000484874658018584,0.165000237721459,0.0349097076832433,0.000518880611031073,10.3700194972167
512,1747,1503,64,0.125831222629558,0.0287789318746657,0.00122609027915639,0.206811537020678,0.0261578240300182,0.00108776101889078,10.0768967666667
514,1483,701,36,0.162318538442257,0.0157928622185447,0.000817687059854912,0.184621723856619,0.0240215025158039,0.00114387140482835,6.86198094098333
515,976,648,39,0.18888849445818,0.0211874497644167,0.00126503016174211,0.141947509499385,0.0246792036171193,0.00129254243721745,7.14004252291667
516,770,642,31,0.171538897579202,0.021484222385188,0.00102434599968597,0.181332490518446,0.0214936438394917,0.00090540333025811,8.41091638818333
517,1072,455,24,0.189137702648894,0.0134371327451892,0.000721734129377516,0.169277870734043,0.0156436672850735,0.000857030547617116,10.20175548265
518,1780,918,44,0.135050637864985,0.0168060754220556,0.000810841931759819,0.152412990313087,0.0233897365014751,0.00110126024973604,9.68605918195
522,420,443,28,0.211283465557944,0.025023197585501,0.00155092902256428,0.239856749067913,0.0228709078715355,0.0011902285568303,9.23761060763333
525,1965,717,39,0.152598703016289,0.0150594872492543,0.00080777057785496,0.16417174716442,0.0190304682370778,0.00104659628814997,9.5283823632
526,1528,1152,87,0.149460560482888,0.0259006923046336,0.00196028257908307,0.181307942659998,0.0244839007811367,0.00151259219695408,12.6247519097333
528,966,514,12,0.179112003387848,0.0151640981975285,0.000367871441431842,0.186187938269431,0.0236538564316823,0.000572231143716088,11.2921911791667
